nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
76.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
79.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
80.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
82.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
86.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
95.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
237.0,142.0,open,0.0,0.0,0.0,0.0,0.0,
705.0,1400.0,open,0.0,0.0,0.0,0.0,0.0,
748.0,1400.0,open,0.0,0.0,0.0,0.0,2.0,
862.0,1400.0,blocked,0.0,0.0,0.0,0.0,0.0,
983.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
1024.0,1461.0,open,0.0,0.0,0.0,0.0,0.0,
1038.0,1461.0,blocked,0.0,0.0,0.0,0.0,0.0,
3073.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3093.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
3202.0,3161.0,blocked,0.0,0.0,0.0,0.0,0.0,
3407.0,3554.0,blocked,28.0,49.0,55.0,138.0,190.0,
3427.0,3554.0,blocked,30.0,46.0,46.0,111.0,268.0,
3504.0,3554.0,blocked,0.0,0.0,0.0,0.0,0.0,
3513.0,3554.0,blocked,27.0,49.0,59.0,133.0,281.0,
3531.0,3554.0,blocked,30.0,60.0,83.0,153.0,310.0,
3542.0,3554.0,blocked,30.0,60.0,90.0,180.0,337.0,
3587.0,3554.0,blocked,30.0,60.0,85.0,171.0,328.0,
3599.0,3554.0,blocked,29.0,52.0,69.0,147.0,304.0,
3604.0,3554.0,blocked,30.0,59.0,74.0,157.0,314.0,
3630.0,3554.0,blocked,30.0,60.0,77.0,127.0,284.0,
3731.0,4045.0,blocked,30.0,60.0,90.0,180.0,247.0,
3772.0,4094.0,open,0.0,0.0,0.0,0.0,0.0,
3846.0,4136.0,open,0.0,0.0,0.0,0.0,0.0,
4103.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4115.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
4125.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
5831.0,7454.0,blocked,0.0,0.0,0.0,0.0,0.0,
5840.0,7454.0,blocked,0.0,0.0,0.0,0.0,0.0,
5891.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
5894.0,7454.0,open,0.0,0.0,0.0,0.0,0.0,
6166.0,9127.0,blocked,0.0,0.0,0.0,0.0,0.0,
