id,ext_name,type,facility_name
49395,additional bedding 1 - queen,view,Unmapped
70884,Additional Bedding 1 - Queen,amenities,Unmapped
49206,additional bedding 2 - queen,view,Unmapped
70458,Additional Bedding 2 - Queen,amenities,Unmapped
49403,additional bedding 3 - 2 queen,view,Unmapped
70598,Additional Bedding 3 - 2 Queen,amenities,Unmapped
49407,additional bedding 4 - 2 queen,view,Unmapped
70590,Additional Bedding 4 - 2 Queen,amenities,Unmapped
66534,addl bedding bed 3 - 2 queens in the loft area,view,Unmapped
88013,Addl Bedding Bed 3 - 2 queens in the loft area,amenities,Unmapped
68579,addl bedding br 1 - queen,view,Unmapped
71703,Addl Bedding BR 1 - Queen,amenities,Unmapped
67760,addl bedding br 2 - queen,view,Unmapped
71143,Addl Bedding BR 2 - Queen,amenities,Unmapped
59589,addl bedding br 3 - queen,view,Unmapped
74488,Addl Bedding BR 3 - Queen,amenities,Unmapped
55512,bed-queen total - 1,view,Unmapped
66605,Bed-Queen Total - 1,amenities,Unmapped
55527,bed-queen total - 2,view,Unmapped
66597,Bed-Queen Total - 2,amenities,Unmapped
50026,bed-queen total - 3,view,Unmapped
59224,Bed-Queen Total - 3,amenities,Unmapped
73193,bed-queen total - 4,view,Unmapped
76257,Bed-Queen Total - 4,amenities,Unmapped
61717,bed-queen total - 6,view,Unmapped
76944,Bed-Queen Total - 6,amenities,Unmapped
53812,bedding 1 - queen,view,Unmapped
70228,Bedding 1 - Queen,amenities,Unmapped
48207,bedding 2 - queen,view,Unmapped
66917,Bedding 2 - Queen,amenities,Unmapped
66127,bedding 2 additional - queen,view,Unmapped
66915,Bedding 2 Additional - Queen,amenities,Unmapped
67521,bedding 3 - 2 queens,view,Unmapped
70235,Bedding 3 - 2 Queens,amenities,Unmapped
53908,bedding 3 - queen,view,Unmapped
70287,Bedding 3 - Queen,amenities,Unmapped
67581,bedding 3 - queen in loft,view,Unmapped
70291,Bedding 3 - Queen in loft,amenities,Unmapped
67535,bedding 4 - 2 queens,view,Unmapped
70248,Bedding 4 - 2 Queens,amenities,Unmapped
66082,bedding 4 - queen,view,Unmapped
85865,Bedding 4 - Queen,amenities,Unmapped
66085,bedding 5 - queen,view,Unmapped
85859,Bedding 5 - Queen,amenities,Unmapped
66086,bedding 6 - queen,view,Unmapped
85977,Bedding 6 - Queen,amenities,Unmapped
66103,bedding additional - queen,view,Unmapped
86176,Bedding Additional - Queen,amenities,Unmapped
54094,bedding bed 1 - 2 queen,view,Unmapped
66947,Bedding Bed 1 - 2 Queen,amenities,Unmapped
70255,bedding bed 1 - 2 queens,view,Unmapped
74540,Bedding Bed 1 - 2 Queens,amenities,Unmapped
50013,bedding bed 1 - queen,view,Unmapped
74554,Bedding Bed 1 - Queen,amenities,Unmapped
50625,bedding bed 2 - 2 queen,view,Unmapped
79199,Bedding Bed 2 - 2 Queen,amenities,Unmapped
54096,bedding bed 2 - 2 queen beds,view,Unmapped
66944,Bedding Bed 2 - 2 Queen Beds,amenities,Unmapped
75746,bedding bed 2 - 2 queens,view,Unmapped
83074,Bedding Bed 2 - 2 Queens,amenities,Unmapped
50070,bedding bed 2 - queen,view,Unmapped
66758,Bedding Bed 2 - Queen,amenities,Unmapped
57867,bedding bed 3 - 2 queen,view,Unmapped
80048,Bedding Bed 3 - 2 Queen,amenities,Unmapped
65728,bedding bed 3 - 2 queens,view,Unmapped
83144,Bedding Bed 3 - 2 Queens,amenities,Unmapped
50111,bedding bed 3 - queen,view,Unmapped
74532,Bedding Bed 3 - Queen,amenities,Unmapped
55873,bedding bed 4 - 2 queen,view,Unmapped
81435,Bedding Bed 4 - 2 Queen,amenities,Unmapped
50400,bedding bed 4 - queen,view,Unmapped
74529,Bedding Bed 4 - Queen,amenities,Unmapped
55875,bedding bed 5 - 2 queen,view,Unmapped
79942,Bedding Bed 5 - 2 Queen,amenities,Unmapped
65572,bedding bed 5 - queen,view,Unmapped
81753,Bedding Bed 5 - Queen,amenities,Unmapped
55962,bedding bed 6 - 2 queen,view,Unmapped
