id,ext_name,type,facility_name
38898,queen & queen murphy,accommodations,queen
59148,queen + full murphy,accommodations,queen
46970,queen - 1,accommodations,queen
49324,queen - 12,accommodations,queen
38472,queen - 2,accommodations,queen
48914,queen - 3,accommodations,queen
48375,queen - 4,accommodations,queen
48338,queen - 5,accommodations,queen
49716,queen - 6,accommodations,queen
49764,queen - 7,accommodations,queen
39248,queen - downstair,accommodations,queen
39293,queen - downstairs,accommodations,queen
39354,queen - ground level,accommodations,queen
39353,queen - main level,accommodations,queen
38836,queen - mem foam,accommodations,queen
39818,queen bed in den,accommodations,queen
38969,queen blow up,accommodations,queen
52495,queen br1 - 1,accommodations,queen
52604,queen br1 - 2,accommodations,queen
52401,queen br2 - 1,accommodations,queen
52541,queen br2 - 2,accommodations,queen
52481,queen br3 - 1,accommodations,queen
52402,queen br4 - 1,accommodations,queen
52879,queen br4 - 2,accommodations,queen
52406,queen br5 - 1,accommodations,queen
52881,queen br5 - 2,accommodations,queen
52698,queen br6 - 1,accommodations,queen
39816,queen downstairs,accommodations,queen
40263,queen en-suite,accommodations,queen
40299,queen ensuite,accommodations,queen
40112,queen in lock off,accommodations,queen
38407,queen murphy bed,accommodations,queen
40127,queen size,accommodations,queen
40130,queen size,accommodations,queen
48039,third bedroom bedding - queen,accommodations,queen
38280,yes - queen,accommodations,queen
38438,yes - queen futon,accommodations,queen
59135,yes queen,accommodations,queen
